item_id,ro_id,item_type,item_name,quantity,unit_price,total_price,technician_id,created_at
44,12,Consumable,Coolant,3,122.37,367.11,17,2026-06-16
45,12,Part,Cabin Filter,2,183.55,367.1,14,2026-06-16
46,12,Consumable,Grease & Lubricants,1,881.04,881.04,15,2026-06-16
47,13,Consumable,Brake Fluid,3,467.37,1402.11,14,2026-06-16
48,13,Labour,General Service Labour,1,8412.66,8412.66,17,2026-06-16
49,13,Part,Cabin Filter,1,1402.11,1402.11,16,2026-06-16
50,13,Consumable,Coolant,1,1402.11,1402.11,14,2026-06-16
51,13,Part,Spark Plugs,2,1121.69,2243.38,14,2026-06-16
52,13,Part,Oil Filter,2,701.06,1402.12,16,2026-06-16
53,15,Consumable,Wiring & Connectors,1,232.13,232.13,17,2026-06-16
54,15,Labour,Diagnostic Labour,1,464.26,464.26,15,2026-06-16
55,15,Labour,Repair Labour,1,464.26,464.26,17,2026-06-16
56,15,Part,Battery,3,116.07,348.21,15,2026-06-16
57,17,Oil,Engine Oil 5W-30,3,186.76,560.28,16,2026-06-16
58,17,Consumable,Brake Fluid,3,62.25,186.75,17,2026-06-16
59,17,Consumable,Coolant,3,62.25,186.75,17,2026-06-16
60,17,Labour,General Service Labour,1,1120.58,1120.58,16,2026-06-16
61,17,Part,Air Filter,1,186.76,186.76,15,2026-06-16
62,17,Part,Spark Plugs,1,298.82,298.82,15,2026-06-16
63,18,Part,Air Filter,2,499.4,998.8,16,2026-06-16
64,18,Part,Spark Plugs,3,532.7,1598.1,15,2026-06-16
65,18,Oil,Engine Oil 5W-30,3,998.81,2996.43,14,2026-06-16
66,18,Consumable,Grease & Lubricants,1,2397.14,2397.14,15,2026-06-16
67,18,Consumable,Coolant,1,998.81,998.81,15,2026-06-16
68,18,Part,Cabin Filter,3,332.94,998.82,16,2026-06-16
69,19,Part,Oil Filter,2,59.61,119.22,17,2026-06-16
70,19,Consumable,Coolant,2,59.61,119.22,14,2026-06-16
71,19,Part,Air Filter,1,119.22,119.22,17,2026-06-16
72,21,Part,Spark Plugs,2,880.25,1760.5,15,2026-06-16
73,21,Consumable,Coolant,2,550.16,1100.32,15,2026-06-16
74,21,Consumable,Brake Fluid,2,550.16,1100.32,14,2026-06-16
75,21,Part,Air Filter,2,550.16,1100.32,14,2026-06-16
76,22,Labour,Diagnostic Labour,1,4527.23,4527.23,16,2026-06-16
77,22,Part,Brake Pads,2,2263.62,4527.24,14,2026-06-16
78,22,Part,Clutch Plate,3,1131.81,3395.43,16,2026-06-16
79,22,Labour,Repair Labour,1,4527.23,4527.23,16,2026-06-16
80,22,Consumable,Wiring & Connectors,1,2263.62,2263.62,17,2026-06-16
81,22,Part,Battery,2,1697.71,3395.42,16,2026-06-16
82,23,Consumable,Grease & Lubricants,2,1169.36,2338.72,16,2026-06-16
83,23,Consumable,Brake Fluid,1,974.47,974.47,16,2026-06-16
84,23,Labour,General Service Labour,1,5846.8,5846.8,17,2026-06-16
85,23,Labour,Washing & Polishing,1,1948.93,1948.93,15,2026-06-16
86,23,Consumable,Coolant,1,974.47,974.47,17,2026-06-16
87,23,Part,Spark Plugs,3,519.72,1559.16,15,2026-06-16
88,25,Part,Warranty Part Replacement,1,3605.52,3605.52,16,2026-06-16
89,25,Consumable,Sealants & Gaskets,3,858.46,2575.38,14,2026-06-16
90,25,Labour,Warranty Labour,1,4120.6,4120.6,17,2026-06-16
91,26,Part,Spark Plugs,2,846.14,1692.28,16,2026-06-16
92,26,Labour,General Service Labour,1,6346.07,6346.07,14,2026-06-16
93,26,Part,Cabin Filter,2,528.84,1057.68,17,2026-06-16
94,28,Labour,General Service Labour,1,6115.78,6115.78,16,2026-06-16
95,28,Oil,Engine Oil 5W-30,3,1019.3,3057.9,14,2026-06-16
96,28,Consumable,Grease & Lubricants,3,815.44,2446.32,17,2026-06-16
97,28,Consumable,Coolant,2,509.65,1019.3,16,2026-06-16
98,29,Oil,Engine Oil 5W-30,3,658.78,1976.34,17,2026-06-16
99,29,Part,Cabin Filter,2,329.39,658.78,17,2026-06-16
100,29,Part,Spark Plugs,3,351.35,1054.05,14,2026-06-16
101,29,Part,Oil Filter,1,658.78,658.78,16,2026-06-16
102,32,Consumable,Grease & Lubricants,3,133.43,400.29,16,2026-06-16
103,32,Consumable,Brake Fluid,2,83.39,166.78,16,2026-06-16
104,32,Oil,Engine Oil 5W-30,2,250.18,500.36,16,2026-06-16
105,32,Part,Spark Plugs,3,88.95,266.85,16,2026-06-16
106,32,Part,Air Filter,3,55.6,166.8,17,2026-06-16
107,32,Part,Cabin Filter,1,166.79,166.79,16,2026-06-16
108,33,Part,Battery,2,919.82,1839.64,16,2026-06-16
109,33,Labour,Repair Labour,1,2452.85,2452.85,14,2026-06-16
110,33,Consumable,Wiring & Connectors,3,408.81,1226.43,17,2026-06-16
111,37,Labour,Washing & Polishing,1,555.08,555.08,16,2026-06-16
112,37,Oil,Engine Oil 5W-30,1,832.61,832.61,14,2026-06-16
113,37,Labour,General Service Labour,1,1665.23,1665.23,17,2026-06-16
114,37,Part,Cabin Filter,2,138.77,277.54,14,2026-06-16
115,37,Consumable,Coolant,3,92.51,277.53,15,2026-06-16
116,37,Consumable,Brake Fluid,2,138.77,277.54,16,2026-06-16
117,40,Part,Brake Pads,2,252.04,504.08,17,2026-06-16
118,40,Consumable,Wiring & Connectors,3,84.02,252.06,17,2026-06-16
119,40,Part,Clutch Plate,2,189.03,378.06,14,2026-06-16
120,42,Consumable,Grease & Lubricants,1,1441.41,1441.41,16,2026-06-16
121,42,Consumable,Coolant,2,300.29,600.58,16,2026-06-16
122,42,Part,Air Filter,3,200.2,600.6,15,2026-06-16
123,42,Consumable,Brake Fluid,3,200.2,600.6,15,2026-06-16
124,42,Labour,General Service Labour,1,3603.52,3603.52,17,2026-06-16
125,43,Consumable,Brake Fluid,2,452.7,905.4,16,2026-06-16
126,43,Part,Air Filter,3,301.8,905.4,14,2026-06-16
127,43,Labour,General Service Labour,1,5432.39,5432.39,14,2026-06-16
128,44,Part,Headlight Assembly,1,779.56,779.56,14,2026-06-16
129,44,Consumable,Paint & Polish,3,389.78,1169.34,14,2026-06-16
130,44,Labour,Denting Labour,1,1948.9,1948.9,15,2026-06-16
131,44,Part,Bumper,2,584.67,1169.34,16,2026-06-16
132,44,Part,Fender,2,389.78,779.56,15,2026-06-16
133,44,Labour,Painting Labour,1,1948.9,1948.9,15,2026-06-16
134,45,Part,Air Filter,3,351.16,1053.48,14,2026-06-16
135,45,Part,Spark Plugs,1,1685.55,1685.55,16,2026-06-16
136,45,Part,Cabin Filter,1,1053.47,1053.47,15,2026-06-16
137,45,Labour,Washing & Polishing,1,2106.93,2106.93,15,2026-06-16
138,45,Consumable,Grease & Lubricants,3,842.77,2528.31,17,2026-06-16
139,49,Consumable,Coolant,2,557.24,1114.48,17,2026-06-16
140,49,Consumable,Brake Fluid,3,371.5,1114.5,17,2026-06-16
141,49,Part,Oil Filter,3,371.5,1114.5,15,2026-06-16
142,49,Labour,General Service Labour,1,6686.93,6686.93,14,2026-06-16
143,49,Consumable,Grease & Lubricants,3,891.59,2674.77,15,2026-06-16
144,49,Part,Spark Plugs,1,1783.18,1783.18,15,2026-06-16
145,51,Part,Air Filter,1,637.03,637.03,15,2026-06-16
146,51,Labour,Washing & Polishing,1,1274.07,1274.07,15,2026-06-16
147,51,Consumable,Coolant,2,318.52,637.04,17,2026-06-16
148,53,Consumable,Wiring & Connectors,3,797.81,2393.43,15,2026-06-16
149,53,Part,Brake Pads,3,1595.62,4786.86,15,2026-06-16
150,53,Labour,Repair Labour,1,4786.86,4786.86,17,2026-06-16
151,54,Labour,Washing & Polishing,1,1884.52,1884.52,14,2026-06-16
152,54,Part,Oil Filter,1,942.26,942.26,15,2026-06-16
153,54,Consumable,Grease & Lubricants,2,1130.71,2261.42,14,2026-06-16
154,55,Part,Headlight Assembly,1,1359.23,1359.23,17,2026-06-16
155,55,Labour,Denting Labour,1,3398.07,3398.07,14,2026-06-16
156,55,Consumable,Paint & Polish,2,1019.42,2038.84,17,2026-06-16
157,57,Labour,Repair Labour,1,5250.81,5250.81,15,2026-06-16
158,57,Labour,Diagnostic Labour,1,5250.81,5250.81,16,2026-06-16
159,57,Part,Clutch Plate,2,1969.05,3938.1,17,2026-06-16
160,58,Part,Recall Part Replacement,2,1678.14,3356.28,16,2026-06-16
161,58,Labour,Recall Service Labour,1,5593.81,5593.81,14,2026-06-16
162,58,Consumable,Miscellaneous,3,745.84,2237.52,14,2026-06-16
163,59,Part,Battery,1,611.3,611.3,15,2026-06-16
164,59,Consumable,Wiring & Connectors,3,135.84,407.52,14,2026-06-16
165,59,Labour,Repair Labour,1,815.07,815.07,17,2026-06-16
166,59,Labour,Diagnostic Labour,1,815.07,815.07,14,2026-06-16
167,59,Part,Clutch Plate,3,203.77,611.31,15,2026-06-16
168,59,Part,Brake Pads,1,815.07,815.07,16,2026-06-16
169,61,Part,Fender,2,777.53,1555.06,14,2026-06-16
170,61,Consumable,Paint & Polish,3,777.53,2332.59,15,2026-06-16
171,61,Labour,Painting Labour,1,3887.64,3887.64,15,2026-06-16
172,61,Part,Bumper,2,1166.29,2332.58,16,2026-06-16
173,62,Part,Brake Pads,1,5580.86,5580.86,16,2026-06-16
174,62,Labour,Repair Labour,1,5580.86,5580.86,17,2026-06-16
175,62,Consumable,Wiring & Connectors,3,930.14,2790.42,15,2026-06-16
176,62,Part,Battery,3,1395.21,4185.63,17,2026-06-16
177,62,Labour,Diagnostic Labour,1,5580.86,5580.86,16,2026-06-16
178,63,Labour,Warranty Labour,1,5514.74,5514.74,15,2026-06-16
179,63,Part,Warranty Part Replacement,1,4825.39,4825.39,16,2026-06-16
180,63,Consumable,Sealants & Gaskets,3,1148.9,3446.7,14,2026-06-16
181,64,Consumable,Brake Fluid,2,571.32,1142.64,16,2026-06-16
182,64,Consumable,Grease & Lubricants,2,1371.17,2742.34,14,2026-06-16
183,64,Part,Air Filter,2,571.32,1142.64,17,2026-06-16
184,64,Labour,General Service Labour,1,6855.86,6855.86,17,2026-06-16
185,67,Oil,Engine Oil 5W-30,2,1448.51,2897.02,14,2026-06-16
186,67,Labour,General Service Labour,1,5794.06,5794.06,16,2026-06-16
187,67,Consumable,Grease & Lubricants,3,772.54,2317.62,14,2026-06-16
188,68,Consumable,Wiring & Connectors,1,1115.33,1115.33,14,2026-06-16
189,68,Part,Clutch Plate,3,557.66,1672.98,17,2026-06-16
190,68,Labour,Repair Labour,1,2230.65,2230.65,16,2026-06-16
191,69,Part,Bumper,1,3702.5,3702.5,15,2026-06-16
192,69,Part,Fender,1,2468.33,2468.33,17,2026-06-16
193,69,Labour,Painting Labour,1,6170.83,6170.83,14,2026-06-16
194,69,Labour,Denting Labour,1,6170.83,6170.83,14,2026-06-16
195,69,Part,Headlight Assembly,2,1234.17,2468.34,16,2026-06-16
196,69,Consumable,Paint & Polish,2,1851.25,3702.5,16,2026-06-16
197,70,Part,Air Filter,3,253.82,761.46,15,2026-06-16
198,70,Consumable,Coolant,3,253.82,761.46,15,2026-06-16
199,70,Consumable,Brake Fluid,3,253.82,761.46,17,2026-06-16
200,70,Labour,Washing & Polishing,1,1522.9,1522.9,14,2026-06-16
201,70,Part,Oil Filter,1,761.45,761.45,17,2026-06-16
202,70,Oil,Engine Oil 5W-30,3,761.45,2284.35,15,2026-06-16
203,71,Consumable,Brake Fluid,3,23.67,71.01,14,2026-06-16
204,71,Labour,Washing & Polishing,1,142.03,142.03,14,2026-06-16
205,71,Part,Cabin Filter,3,23.67,71.01,15,2026-06-16
206,73,Part,Cabin Filter,3,229.82,689.46,15,2026-06-16
207,73,Consumable,Grease & Lubricants,3,551.56,1654.68,14,2026-06-16
208,73,Labour,General Service Labour,1,4136.67,4136.67,15,2026-06-16
209,73,Part,Air Filter,2,344.72,689.44,17,2026-06-16
210,74,Labour,Denting Labour,1,432.75,432.75,14,2026-06-16
211,74,Part,Bumper,2,129.83,259.66,17,2026-06-16
212,74,Labour,Painting Labour,1,432.75,432.75,16,2026-06-16
213,75,Labour,Denting Labour,1,4435.49,4435.49,17,2026-06-16
214,75,Part,Fender,2,887.1,1774.2,14,2026-06-16
215,75,Labour,Painting Labour,1,4435.49,4435.49,17,2026-06-16
216,76,Labour,Repair Labour,1,5749.96,5749.96,17,2026-06-16
217,76,Consumable,Wiring & Connectors,2,1437.49,2874.98,14,2026-06-16
218,76,Labour,Diagnostic Labour,1,5749.96,5749.96,17,2026-06-16
219,76,Part,Brake Pads,2,2874.98,5749.96,15,2026-06-16
220,76,Part,Battery,2,2156.24,4312.48,16,2026-06-16
221,78,Labour,Warranty Labour,1,3416.34,3416.34,17,2026-06-16
222,78,Part,Warranty Part Replacement,3,996.43,2989.29,15,2026-06-16
223,78,Consumable,Sealants & Gaskets,2,1067.61,2135.22,16,2026-06-16
224,80,Part,Clutch Plate,2,1197.19,2394.38,14,2026-06-16
225,80,Labour,Repair Labour,1,3192.5,3192.5,16,2026-06-16
226,80,Part,Brake Pads,3,1064.17,3192.51,17,2026-06-16
227,81,Part,Cabin Filter,1,120.11,120.11,17,2026-06-16
228,81,Labour,Washing & Polishing,1,240.22,240.22,16,2026-06-16
229,81,Consumable,Brake Fluid,2,60.05,120.1,15,2026-06-16
230,82,Labour,Diagnostic Labour,1,3892.55,3892.55,14,2026-06-16
231,82,Part,Clutch Plate,1,2919.41,2919.41,16,2026-06-16
232,82,Consumable,Wiring & Connectors,2,973.14,1946.28,17,2026-06-16
233,82,Part,Battery,2,1459.7,2919.4,16,2026-06-16
234,83,Labour,Repair Labour,1,3419.58,3419.58,14,2026-06-16
235,83,Consumable,Wiring & Connectors,1,1709.79,1709.79,17,2026-06-16
236,83,Part,Clutch Plate,3,854.89,2564.67,14,2026-06-16
237,83,Labour,Diagnostic Labour,1,3419.58,3419.58,16,2026-06-16
238,83,Part,Battery,3,854.89,2564.67,14,2026-06-16
239,84,Part,Brake Pads,3,1775.84,5327.52,15,2026-06-16
240,84,Labour,Diagnostic Labour,1,5327.53,5327.53,16,2026-06-16
241,84,Part,Battery,2,1997.82,3995.64,14,2026-06-16
242,84,Part,Clutch Plate,1,3995.65,3995.65,16,2026-06-16
243,84,Consumable,Wiring & Connectors,2,1331.88,2663.76,17,2026-06-16
244,87,Labour,Washing & Polishing,1,2241.91,2241.91,15,2026-06-16
245,87,Consumable,Brake Fluid,3,373.65,1120.95,17,2026-06-16
246,87,Consumable,Coolant,3,373.65,1120.95,14,2026-06-16
247,87,Oil,Engine Oil 5W-30,1,3362.87,3362.87,16,2026-06-16
248,87,Labour,General Service Labour,1,6725.74,6725.74,15,2026-06-16
249,87,Part,Cabin Filter,2,560.48,1120.96,15,2026-06-16
250,88,Consumable,Wiring & Connectors,3,362.03,1086.09,14,2026-06-16
251,88,Part,Battery,1,1629.14,1629.14,15,2026-06-16
252,88,Part,Brake Pads,3,724.06,2172.18,14,2026-06-16
253,88,Labour,Diagnostic Labour,1,2172.19,2172.19,16,2026-06-16
254,88,Labour,Repair Labour,1,2172.19,2172.19,15,2026-06-16
255,89,Labour,Washing & Polishing,1,1488.85,1488.85,15,2026-06-16
256,89,Part,Oil Filter,1,744.42,744.42,14,2026-06-16
257,89,Consumable,Coolant,1,744.42,744.42,15,2026-06-16
258,90,Part,Clutch Plate,3,74.14,222.42,14,2026-06-16
259,90,Labour,Diagnostic Labour,1,296.55,296.55,17,2026-06-16
260,90,Part,Battery,2,111.21,222.42,14,2026-06-16
261,90,Part,Brake Pads,3,98.85,296.55,14,2026-06-16
262,90,Consumable,Wiring & Connectors,3,49.43,148.29,14,2026-06-16
263,91,Labour,General Service Labour,1,6665.17,6665.17,17,2026-06-16
264,91,Part,Oil Filter,1,1110.86,1110.86,15,2026-06-16
265,91,Labour,Washing & Polishing,1,2221.72,2221.72,17,2026-06-16
266,91,Part,Cabin Filter,2,555.43,1110.86,14,2026-06-16
267,91,Part,Spark Plugs,3,592.46,1777.38,14,2026-06-16
268,92,Labour,Painting Labour,1,1426.75,1426.75,16,2026-06-16
269,92,Labour,Denting Labour,1,1426.75,1426.75,16,2026-06-16
270,92,Consumable,Paint & Polish,1,856.05,856.05,16,2026-06-16
271,92,Part,Headlight Assembly,1,570.7,570.7,15,2026-06-16
272,92,Part,Fender,1,570.7,570.7,17,2026-06-16
273,93,Oil,Engine Oil 5W-30,2,527.71,1055.42,17,2026-06-16
274,93,Part,Air Filter,1,351.81,351.81,14,2026-06-16
275,93,Consumable,Grease & Lubricants,1,844.34,844.34,15,2026-06-16
276,94,Labour,Warranty Labour,1,4097.65,4097.65,17,2026-06-16
277,94,Part,Warranty Part Replacement,2,1792.72,3585.44,15,2026-06-16
278,94,Consumable,Sealants & Gaskets,3,853.68,2561.04,15,2026-06-16
279,95,Consumable,Wiring & Connectors,3,401.78,1205.34,16,2026-06-16
280,95,Labour,Repair Labour,1,2410.66,2410.66,16,2026-06-16
281,95,Labour,Diagnostic Labour,1,2410.66,2410.66,17,2026-06-16
282,96,Oil,Engine Oil 5W-30,3,239.87,719.61,16,2026-06-16
283,96,Consumable,Grease & Lubricants,3,191.9,575.7,15,2026-06-16
284,96,Part,Spark Plugs,1,383.8,383.8,15,2026-06-16
285,96,Part,Air Filter,3,79.96,239.88,16,2026-06-16
286,96,Consumable,Brake Fluid,2,119.94,239.88,16,2026-06-16
287,97,Part,Brake Pads,3,1705.06,5115.18,15,2026-06-16
288,97,Part,Battery,2,1918.19,3836.38,14,2026-06-16
289,97,Labour,Diagnostic Labour,1,5115.18,5115.18,15,2026-06-16
290,97,Labour,Repair Labour,1,5115.18,5115.18,16,2026-06-16
291,97,Part,Clutch Plate,2,1918.19,3836.38,17,2026-06-16
292,97,Consumable,Wiring & Connectors,1,2557.59,2557.59,15,2026-06-16
293,98,Consumable,Brake Fluid,1,771.21,771.21,17,2026-06-16
294,98,Consumable,Coolant,1,771.21,771.21,15,2026-06-16
295,98,Oil,Engine Oil 5W-30,1,2313.64,2313.64,15,2026-06-16
296,98,Part,Air Filter,2,385.61,771.22,15,2026-06-16
297,99,Labour,Washing & Polishing,1,1153.7,1153.7,14,2026-06-16
298,99,Part,Oil Filter,3,192.28,576.84,16,2026-06-16
299,99,Consumable,Coolant,3,192.28,576.84,16,2026-06-16
300,99,Consumable,Grease & Lubricants,1,1384.44,1384.44,14,2026-06-16
301,99,Labour,General Service Labour,1,3461.1,3461.1,16,2026-06-16
302,101,Consumable,Wiring & Connectors,2,455.24,910.48,15,2026-06-16
303,101,Part,Brake Pads,2,910.48,1820.96,15,2026-06-16
304,101,Labour,Repair Labour,1,1820.96,1820.96,16,2026-06-16
305,101,Part,Battery,3,455.24,1365.72,14,2026-06-16
306,101,Part,Clutch Plate,3,455.24,1365.72,15,2026-06-16
307,101,Labour,Diagnostic Labour,1,1820.96,1820.96,17,2026-06-16
308,105,Consumable,Grease & Lubricants,3,80.15,240.45,16,2026-06-16
309,105,Consumable,Brake Fluid,1,100.19,100.19,15,2026-06-16
310,105,Consumable,Coolant,1,100.19,100.19,17,2026-06-16
311,105,Part,Cabin Filter,3,33.4,100.2,14,2026-06-16
312,106,Labour,Warranty Labour,1,9130.89,9130.89,14,2026-06-16
313,106,Consumable,Sealants & Gaskets,1,5706.81,5706.81,14,2026-06-16
314,106,Part,Warranty Part Replacement,3,2663.18,7989.54,15,2026-06-16
315,107,Part,Air Filter,3,267.71,803.13,14,2026-06-16
316,107,Consumable,Coolant,2,401.57,803.14,16,2026-06-16
317,107,Consumable,Brake Fluid,1,803.14,803.14,16,2026-06-16
318,108,Labour,Washing & Polishing,1,1117.85,1117.85,17,2026-06-16
319,108,Labour,General Service Labour,1,3353.56,3353.56,14,2026-06-16
320,108,Part,Cabin Filter,1,558.93,558.93,15,2026-06-16
321,108,Part,Air Filter,3,186.31,558.93,15,2026-06-16
322,108,Consumable,Coolant,2,279.46,558.92,15,2026-06-16
323,108,Part,Spark Plugs,3,298.09,894.27,15,2026-06-16
324,110,Labour,Diagnostic Labour,1,3508.21,3508.21,17,2026-06-16
325,110,Labour,Repair Labour,1,3508.21,3508.21,16,2026-06-16
326,110,Part,Clutch Plate,3,877.05,2631.15,15,2026-06-16
327,110,Part,Battery,3,877.05,2631.15,15,2026-06-16
328,110,Consumable,Wiring & Connectors,1,1754.11,1754.11,14,2026-06-16
329,110,Part,Brake Pads,3,1169.4,3508.2,16,2026-06-16
330,111,Consumable,Brake Fluid,2,200.49,400.98,17,2026-06-16
331,111,Labour,General Service Labour,1,2405.83,2405.83,16,2026-06-16
332,111,Consumable,Grease & Lubricants,1,962.33,962.33,14,2026-06-16
333,111,Part,Air Filter,1,400.97,400.97,16,2026-06-16
334,112,Labour,Washing & Polishing,1,1187.54,1187.54,17,2026-06-16
335,112,Part,Cabin Filter,2,296.88,593.76,14,2026-06-16
336,112,Consumable,Coolant,3,197.92,593.76,14,2026-06-16
337,112,Consumable,Brake Fluid,1,593.77,593.77,16,2026-06-16
338,112,Labour,General Service Labour,1,3562.61,3562.61,14,2026-06-16
339,112,Part,Oil Filter,2,296.88,593.76,17,2026-06-16
340,113,Part,Brake Pads,2,1083.29,2166.58,17,2026-06-16
341,113,Part,Clutch Plate,3,541.64,1624.92,16,2026-06-16
342,113,Labour,Repair Labour,1,2166.58,2166.58,16,2026-06-16
343,114,Labour,Diagnostic Labour,1,3489.47,3489.47,17,2026-06-16
344,114,Labour,Repair Labour,1,3489.47,3489.47,17,2026-06-16
345,114,Part,Clutch Plate,3,872.37,2617.11,15,2026-06-16
346,114,Consumable,Wiring & Connectors,2,872.37,1744.74,15,2026-06-16
347,114,Part,Battery,1,2617.1,2617.1,14,2026-06-16
348,114,Part,Brake Pads,2,1744.73,3489.46,17,2026-06-16
349,115,Part,Clutch Plate,2,747.25,1494.5,16,2026-06-16
350,115,Part,Battery,2,747.25,1494.5,16,2026-06-16
351,115,Consumable,Wiring & Connectors,3,332.11,996.33,16,2026-06-16
352,115,Labour,Repair Labour,1,1992.66,1992.66,17,2026-06-16
353,115,Labour,Diagnostic Labour,1,1992.66,1992.66,16,2026-06-16
354,115,Part,Brake Pads,3,664.22,1992.66,15,2026-06-16
355,116,Part,Cabin Filter,1,1041.76,1041.76,14,2026-06-16
356,116,Oil,Engine Oil 5W-30,2,1562.64,3125.28,15,2026-06-16
357,116,Part,Spark Plugs,3,555.6,1666.8,16,2026-06-16
358,116,Labour,Washing & Polishing,1,2083.52,2083.52,17,2026-06-16
359,116,Consumable,Brake Fluid,3,347.25,1041.75,16,2026-06-16
360,117,Consumable,Brake Fluid,2,136.4,272.8,14,2026-06-16
361,117,Labour,General Service Labour,1,1636.82,1636.82,16,2026-06-16
362,117,Labour,Washing & Polishing,1,545.61,545.61,17,2026-06-16
363,117,Part,Spark Plugs,3,145.49,436.47,17,2026-06-16
364,117,Part,Oil Filter,1,272.8,272.8,17,2026-06-16
365,117,Oil,Engine Oil 5W-30,3,272.8,818.4,14,2026-06-16
366,118,Part,Air Filter,2,542.21,1084.42,16,2026-06-16
367,118,Oil,Engine Oil 5W-30,1,3253.24,3253.24,14,2026-06-16
368,118,Labour,General Service Labour,1,6506.49,6506.49,14,2026-06-16
369,120,Part,Air Filter,1,490.15,490.15,16,2026-06-16
370,120,Consumable,Grease & Lubricants,2,588.18,1176.36,14,2026-06-16
371,120,Part,Oil Filter,1,490.15,490.15,15,2026-06-16
372,120,Labour,General Service Labour,1,2940.91,2940.91,15,2026-06-16
373,120,Part,Cabin Filter,3,163.38,490.14,15,2026-06-16
374,120,Consumable,Coolant,3,163.38,490.14,17,2026-06-16
375,121,Labour,Diagnostic Labour,1,2730.48,2730.48,15,2026-06-16
376,121,Part,Clutch Plate,1,2047.86,2047.86,15,2026-06-16
377,121,Part,Brake Pads,1,2730.48,2730.48,17,2026-06-16
378,121,Consumable,Wiring & Connectors,3,455.08,1365.24,15,2026-06-16
379,122,Labour,Washing & Polishing,1,1033.87,1033.87,14,2026-06-16
380,122,Consumable,Coolant,2,258.47,516.94,16,2026-06-16
381,122,Oil,Engine Oil 5W-30,3,516.94,1550.82,17,2026-06-16
382,122,Labour,General Service Labour,1,3101.61,3101.61,15,2026-06-16
383,122,Part,Oil Filter,3,172.31,516.93,17,2026-06-16
384,124,Part,Oil Filter,3,325.92,977.76,16,2026-06-16
385,124,Labour,Washing & Polishing,1,1955.53,1955.53,16,2026-06-16
386,124,Oil,Engine Oil 5W-30,1,2933.29,2933.29,16,2026-06-16
387,124,Consumable,Grease & Lubricants,1,2346.63,2346.63,15,2026-06-16
388,124,Consumable,Brake Fluid,3,325.92,977.76,17,2026-06-16
